CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 10:51:54 PM,,,,,,,,,,,,,,,,,,,,,
Station,"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,
Parameter,"AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:20:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,
 , ,,Anand Vihar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2
21-02-2013 00:00,22-02-2013 00:00,AV,,756.34,,144.68,,253.12,21.14,13.15,,0.27,1.18,4.11,2.63,103.76,74.36,135.09,229.47,46.51,11.61
22-02-2013 00:00,23-02-2013 00:00,AV,,757.31,,121.59,,255.15,21.86,11.68,,0.5,0.86,3.48,2.53,83.57,29.74,105.86,139.79,39.65,29.23
23-02-2013 00:00,24-02-2013 00:00,AV,,755.11,,66.55,,242.88,18.92,7.91,,0.18,0.52,2.88,2.42,62.46,23.51,96.14,122.8,31.62,12.04
24-02-2013 00:00,25-02-2013 00:00,AV,,,,56.19,,260.23,18.93,9.84,,,0.82,3.05,2.45,52.49,75.92,94.69,194.51,25.52,15.85
25-02-2013 00:00,26-02-2013 00:00,AV,,759.96,,79.05,,263.28,19.93,8.07,,,1.07,3.4,2.52,52.8,60.41,92.47,170.62,33.48,16.95
26-02-2013 00:00,27-02-2013 00:00,AV,,754.99,,177.08,,259.89,21.27,12.86,,,1.48,4.02,2.67,52.22,70.46,98.76,190.43,53.48,25.01
27-02-2013 00:00,28-02-2013 00:00,AV,,754.56,,125.89,,256.53,23.17,10.59,,0.1,1.48,3.87,2.63,53.73,66.77,112.41,197.62,45.38,33.06
28-02-2013 00:00,01-03-2013 00:00,AV,,758.1,,118.94,,259.93,21.76,7.83,,0.1,0.83,3.5,2.5,50.79,91.73,119.88,240.73,32.14,13.99
01-03-2013 00:00,02-03-2013 00:00,AV,,758.09,,255.43,,265.9,19.83,5.31,,0.1,0.76,2.74,2.45,37.21,32.52,85.13,124.2,38.78,15.81
02-03-2013 00:00,03-03-2013 00:00,AV,,757.1,,479.33,,182.31,22.46,9.44,,0.12,0.75,3.61,2.72,26.37,15.93,84.16,74.78,32.34,9.12
03-03-2013 00:00,04-03-2013 00:00,AV,,757.4,,95.01,,258.82,23.09,8.56,,0.1,1.36,3.7,2.55,55.71,115.76,140.56,293.12,33.9,9.56
04-03-2013 00:00,05-03-2013 00:00,AV,,756.7,,133.72,,255.27,24.07,13.22,,,2.58,4.53,2.5,70.47,175.78,158.68,394.26,25.1,12.67
05-03-2013 00:00,06-03-2013 00:00,AV,,757.7,,202.26,,251.17,24.85,16.8,,,1.86,5.39,2.56,84.8,191.99,157.88,416.05,18.35,15.78
06-03-2013 00:00,07-03-2013 00:00,AV,,757.84,,121.15,,253.39,25.09,10.02,,,5.25,3.95,2.68,84.35,127.43,147.2,315.56,14.23,10.37
07-03-2013 00:00,08-03-2013 00:00,AV,,756.61,,142.19,,228.03,22.92,9.29,,,1.02,4.2,2.47,95.95,150.49,159.71,359.22,9.25,51.38
08-03-2013 00:00,09-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
09-03-2013 00:00,10-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
10-03-2013 00:00,11-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
11-03-2013 00:00,12-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
12-03-2013 00:00,13-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
13-03-2013 00:00,14-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
14-03-2013 00:00,15-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
15-03-2013 00:00,16-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
16-03-2013 00:00,17-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
17-03-2013 00:00,18-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
18-03-2013 00:00,19-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
19-03-2013 00:00,20-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
20-03-2013 00:00,21-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
21-03-2013 00:00,22-03-2013 00:00,AV,,742.88,,87.59,,297.93,30.39,,,0.1,,,,,,,,,28.75
22-03-2013 00:00,23-03-2013 00:00,AV,,735.97,,65.74,,43.57,23.76,,,0.1,,,,,,,,,247.0
23-03-2013 00:00,24-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
24-03-2013 00:00,25-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
25-03-2013 00:00,26-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
26-03-2013 00:00,27-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
27-03-2013 00:00,28-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
28-03-2013 00:00,29-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
29-03-2013 00:00,30-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
30-03-2013 00:00,31-03-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
31-03-2013 00:00,01-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
01-04-2013 00:00,02-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
02-04-2013 00:00,03-04-2013 00:00,AV,,742.93,,62.7,,258.19,31.06,9.22,,0.15,0.99,3.16,2.52,50.52,35.85,106.16,148.25,22.8,9.58
03-04-2013 00:00,04-04-2013 00:00,AV,,743.27,,81.01,,268.49,28.42,9.14,,0.21,1.4,3.29,2.65,56.55,78.37,122.71,224.69,19.07,10.7
04-04-2013 00:00,05-04-2013 00:00,AV,,740.33,,125.07,,269.93,28.84,7.61,,0.11,0.93,3.85,2.61,51.19,100.6,120.49,253.92,14.7,11.02
