CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,
Time: 01:33:59 AM,,,,,,,,,,,,,,,,
Station,"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,AT,SO2,Benzene,Toluene,NH3",,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,
To,01-01-2018 T15:01:59Z 00:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,,
 , ,,Mandir Marg , , , , ,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Toluene,NH3
13-04-2013 00:00,14-04-2013 00:00,MM,,,,275.27,39.81,738.0,119.05,9.13,0.0,108.23,0.0,0.0,46.4,74.77
14-04-2013 00:00,15-04-2013 00:00,MM,,,,187.23,30.55,737.66,210.27,9.97,0.0,110.93,0.0,0.0,56.91,
15-04-2013 00:00,16-04-2013 00:00,MM,,,,234.85,37.82,737.69,211.3,8.33,0.0,88.85,0.0,0.0,35.84,87.87
16-04-2013 00:00,17-04-2013 00:00,MM,,,,206.5,28.15,737.42,207.0,8.3,0.0,99.48,0.0,0.0,31.54,75.05
17-04-2013 00:00,18-04-2013 00:00,MM,,,,243.14,24.0,737.51,208.19,8.41,0.0,90.36,0.0,0.0,31.31,59.29
18-04-2013 00:00,19-04-2013 00:00,MM,,,,200.97,22.35,737.55,207.53,8.09,0.0,112.85,0.0,0.0,27.23,56.72
19-04-2013 00:00,20-04-2013 00:00,MM,,,,209.44,27.44,737.61,214.9,8.79,0.0,114.56,0.0,0.0,25.36,62.38
20-04-2013 00:00,21-04-2013 00:00,MM,,,,164.92,26.7,737.53,231.24,8.44,0.0,138.31,0.0,0.0,25.36,66.34
21-04-2013 00:00,22-04-2013 00:00,MM,,,,,,,,,,,,,,
22-04-2013 00:00,23-04-2013 00:00,MM,,,,,,,,,,,,,,
23-04-2013 00:00,24-04-2013 00:00,MM,,,,,,,,,,,,,,
